Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.care-coordination.json	4961	-	0	0	0	0	0	0	8	197	0	0	0	0	0	0	0	1	0	0	110	63	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-be-care-plan.json	5774	20	1	0	0	0	0	83	1	77	0	0	1	0	0	0	0	2	0	0	374	2657	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4227	32	0	0	1	0	0	20	0	44	0	0	0	0	0	0	0	0	0	0	207	556	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-be-communication.json	6284	21	1	0	0	0	0	37	0	186	0	0	0	0	0	0	0	0	0	0	235	477	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-be-model-careplan.json	7681	13	0	0	0	0	0	25	0	33	0	0	0	0	0	0	0	1	0	0	158	249	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-be-model-careteam.json	5158	12	0	0	0	0	0	21	0	29	0	0	1	0	0	0	0	0	0	0	114	199	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-model-communication.json	5319	20	0	0	0	0	0	18	0	27	0	0	0	0	0	0	0	0	0	0	114	182	0	0	0	4	0	0
